Source,Site,Month,Year,Parameter,Value,Units
AOML,1,1,1998,chla,1.00488,ug/L
AOML,2,1,1998,chla,0.555864,ug/L
AOML,3,1,1998,chla,0.695148,ug/L
AOML,4,1,1998,chla,0.426756,ug/L
AOML,5,1,1998,chla,0.66462,ug/L
AOML,6,1,1998,chla,0.26712,ug/L
AOML,7,1,1998,chla,0.373332,ug/L
AOML,8,1,1998,chla,0.61374,ug/L
AOML,9,1,1998,chla,0.334536,ug/L
AOML,10,1,1998,chla,0.401316,ug/L
AOML,11,1,1998,chla,0.679248,ug/L
AOML,12,1,1998,chla,0.594024,ug/L
AOML,15,1,1998,chla,0.429936,ug/L
AOML,14,1,1998,chla,0.770196,ug/L
AOML,13,1,1998,chla,0.555228,ug/L
AOML,16,1,1998,chla,0.608652,ug/L
AOML,17,1,1998,chla,0.598476,ug/L
AOML,18,1,1998,chla,0.22578,ug/L
AOML,19,1,1998,chla,0.354252,ug/L
AOML,20,1,1998,chla,0.691968,ug/L
AOML,21,1,1998,chla,0.875136,ug/L
AOML,22,1,1998,chla,0.472548,ug/L
AOML,23,1,1998,chla,0.624552,ug/L
AOML,24,1,1998,chla,1.121904,ug/L
AOML,28A,2,1998,chla,1.340688,ug/L
AOML,29A,2,1998,chla,1.441176,ug/L
AOML,30A,2,1998,chla,1.68858,ug/L
AOML,31A,2,1998,chla,1.32924,ug/L
AOML,32A,2,1998,chla,2.851824,ug/L
AOML,33A,2,1998,chla,3.295116,ug/L
AOML,34A,2,1998,chla,2.748156,ug/L
AOML,35A,2,1998,chla,4.764912,ug/L
AOML,40,2,1998,chla,19.55064,ug/L
AOML,39,2,1998,chla,9.753696,ug/L
AOML,46,2,1998,chla,4.220496,ug/L
AOML,47,2,1998,chla,5.155416,ug/L
AOML,48,2,1998,chla,6.193368,ug/L
AOML,49,2,1998,chla,6.41088,ug/L
AOML,50,2,1998,chla,6.153936,ug/L
AOML,51,2,1998,chla,4.855224,ug/L
AOML,52,2,1998,chla,6.570516,ug/L
AOML,53,2,1998,chla,10.001736,ug/L
AOML,57,2,1998,chla,8.39838,ug/L
AOML,56,2,1998,chla,6.393072,ug/L
AOML,55,2,1998,chla,11.099472,ug/L
AOML,54,2,1998,chla,8.7132,ug/L
AOML,60,2,1998,chla,6.714888,ug/L
AOML,71,4,1998,chla,2.774,ug/L
AOML,70,4,1998,chla,3.99,ug/L
AOML,69,4,1998,chla,1.089,ug/L
AOML,68,4,1998,chla,1.694,ug/L
AOML,67,4,1998,chla,1.892,ug/L
AOML,66,4,1998,chla,3.192,ug/L
AOML,65,4,1998,chla,3.458,ug/L
AOML,64,4,1998,chla,4.332,ug/L
AOML,63,4,1998,chla,3.496,ug/L
AOML,62,4,1998,chla,2.926,ug/L
AOML,61,4,1998,chla,1.9,ug/L
AOML,60,4,1998,chla,1.36,ug/L
AOML,59,4,1998,chla,1.188,ug/L
AOML,58,4,1998,chla,0.66,ug/L
AOML,57,4,1998,chla,2.102,ug/L
AOML,56,4,1998,chla,1.309,ug/L
AOML,55,4,1998,chla,1.474,ug/L
AOML,54,4,1998,chla,2.66,ug/L
AOML,53,4,1998,chla,1.21,ug/L
AOML,52,4,1998,chla,0.902,ug/L
AOML,51,4,1998,chla,0.946,ug/L
