Source,Site,Lat,Long,Sample Start Year,Sample End Year,Currently Sampling?,Notes
DERM,AC01,25.90034,-80.14333,2015,2021,Y,
DERM,AC03,25.90155,-80.16286,2015,2021,Y,
DERM,AC06,25.90653,-80.16383,2015,2021,Y,
DERM,AR03,25.28751,-80.44191,2015,2021,Y,
DERM,BB02,25.94488,-80.12777,2015,2021,Y,
DERM,BB04,25.91768,-80.12577,2015,2021,Y,
DERM,BB05A,25.90134,-80.14173,2015,2021,Y,
DERM,BB08,25.86421,-80.17082,2018,2021,Y,
DERM,BB09,25.87138,-80.15507,2015,2021,Y,
DERM,BB10,25.86958,-80.14387,2018,2021,Y,
DERM,BB11,25.84648,-80.16697,2015,2021,Y,
DERM,BB14,25.83008,-80.15857,2015,2021,Y,
DERM,BB15A,25.81522,-80.17550,2018,2021,Y,
DERM,BB17,25.80268,-80.16597,2015,2021,Y,
DERM,BB18,25.78702,-80.16360,2018,2021,Y,
DERM,BB22,25.75628,-80.17427,2015,2021,Y,
DERM,BB24,25.76658,-80.14057,2015,2021,Y,
DERM,BB26,25.74778,-80.18507,2019,2021,Y,
DERM,BB28,25.72918,-80.16027,2020,2021,Y,
DERM,BB31,25.69378,-80.20757,2015,2021,Y,
DERM,BB32,25.68568,-80.18357,2020,2021,Y,
DERM,BB34,25.65149,-80.25908,2015,2021,Y,
DERM,BB37,25.57069,-80.19177,2015,2021,Y,
DERM,BB38,25.51969,-80.23938,2015,2021,Y,
DERM,BB39A,25.52644,-80.30706,2015,2021,Y,
DERM,BB41,25.47269,-80.28448,2015,2021,Y,
DERM,BB47,25.33680,-80.32008,2015,2021,Y,
DERM,BB48,25.30874,-80.34910,2018,2021,Y,
DERM,BB50,25.22990,-80.37678,2015,2021,Y,
DERM,BB51,25.25150,-80.41408,2015,2021,Y,
DERM,BB52,25.56461,-80.30485,2015,2021,Y,
DERM,BB53,25.50249,-80.33229,2015,2021,Y,
DERM,BBKB1,25.69801,-80.17428,2020,2021,Y,
